user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
400,,59,,,,,,,,,79,,27,,,,,,,,,,,,,,4,,,19,,,84,73,,,,,,,,,,,93,85,76,,,,,,,35,,,,,,,,98,,,,,,,84,,,,,75,,,,82,,,73,,,,,,,,75,,77,,24,,,,93,,77,31,,,90,,,82,,,,,,89,,,,98,,,,,,,,,,,,,,,,,,86,,88,,,,,,,,72,,,,,,,29,,,,91,,,81,77,,,,98,,,,76,55,,,,,90,,72,,,76,,,83,92,,,,,,,,,,,,,,,,,,,85,99,,,71,,,,96,,,,,,76,,85,,,,,,,,,,,,,,,,,,,23,,,,,,,72,,95,,89,,,,,,,,71,,,11,,,,,92,,,,71,94,,,,30,,,,,,56,,,78,,,93,,,,,1,76,,,,,,,,70,,,83,,76,,,,,80,,12,,,,,74,,70,,,,91,90,,,,,92,70,,,,84,,96,,,,,61,,,,,97,,,,87,,,94,,,,,97,,81,,,,87,,,,,,77,,,,,,,,,,,79,,,,,,,,,92,94,,,,,,,,,80,,
401,,,,,,,,86,,,,,,,,,71,,,,78,,,,76,,13,,,,23,,,,,,,,,,,,,,97,,,,,77,,,,,93,,,,,,,,,,,,,65,77,,,,,,,,,87,,,93,,,,,,,,87,45,78,,,,49,,,74,98,,,,71,,,,77,87,,,,,,,,,,,85,,,,,,,,,,31,,,,,72,,82,,,,95,87,,,,,,,,15,,69,,,,99,,10,,,,,,,,,,75,,,,84,,91,,,,,,72,,86,98,,,,,,,78,,,72,,81,,,,,,,86,81,,70,,,,88,,,,21,,,,94,91,,,,,21,78,87,91,92,31,,57,,,,,,,,23,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,3,,79,,,,,96,76,,96,,,,75,25,,,,,,,74,98,,52,,99,,89,,,,81,,,14,,,,,,,,,90,,,,,,,,,26,,,,81,,,,,,,,,,84,,,,93,,,,89,,,,,,95,,56,,,,,,,,,,,,,,,,98,,41,,,77,,,,,,,,,,,96,,15,,,,,32,
402,,,47,,,,,,,,,,87,,94,,,,,,82,,,24,71,,,,,,,,,76,,,,,,,,,,,99,,,,,94,,,,39,,,,,,,,80,,,,,,,83,,,,,,,,,85,,,90,,,,,,,,99,,,,,,,,,97,75,,,,78,,,87,96,87,,,,,,,,92,,76,,,,,32,,,,95,,35,,,,,74,,,,43,,,74,,,,,,,,,,,,14,,,,,,77,,,,78,,,,87,,,,,,91,51,10,,,75,94,,95,,,,,,,14,78,18,,,,73,96,,78,,,,,,,,95,,,,,89,,,,,89,,76,,,,,15,82,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,12,,,,,,,86,,,,,31,85,,,,,,,,,,72,,,91,,15,,92,,,,,,,,,,,,,,,,,,,86,76,,,,14,,,,,,91,,,,,,,,,,,,91,,81,,,,,,,,,,,,,,77,,,,99,,,,,,82,53,,67,85,32,,,,,98,,,,,,73,,,,,75,,,,,,75,50,,,,,64,,,,,1,,,,
403,,,,,,,,,,,,15,,,95,,,,,,,,,,,,,97,,,,7,,,,,,,42,,,,,,,,,,,,,,,,87,,,,,,,96,75,,,,78,,72,,,,,,,,,96,,,,,,,,,92,,80,,79,,,,,,,,88,,,3,70,,,81,,,,,,,,25,,,,71,,,,,,68,5,,,,51,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,95,,,,90,,76,,,,,78,72,,80,,71,,,,,74,74,,75,,,71,71,,,76,,,,72,,,78,,,,88,,,,,,,89,87,48,,,,,,,74,,,,,,,47,,,,,,49,,,,,87,,,,,,,,,,,,,,,62,94,,,19,,,,,90,,,,21,,95,,,,,,,,72,,,,,,,,,,,,,81,,85,,97,,28,,,,,,83,,,,,,,14,58,,,,,46,80,95,,,,,,,,8,,,81,,,88,,,,32,,,,,,,84,,,,,92,91,94,,,85,,91,,,,79,,70,,,,,,90,,,,,,,,,85,,73,,,,,63,,,,,,75,,,40,,,,,
404,,,,,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,98,,,88,,,25,,70,,,,,,,87,,,,18,,,,,18,,,94,,,,,,,,,,,,85,86,,74,,,,,74,,,89,,98,,,,,,,82,,91,97,,,,,,,,,71,,,,,,,,,70,,,,,,,89,43,72,,,,,,,30,75,,,,,31,77,,,,46,,,,,73,,,,,,,,,,,,,,86,,,,,,78,,,,,,,,,,,60,76,74,76,,80,14,,,,,,76,,,,,,,,75,,,55,5,88,71,,,,,,,,79,,42,32,7,,,,,,,,,36,,,,,,75,,,,90,,,,,,,,,,,,,,,29,,,,,,,,,,,86,,,,,,,,89,,,,,,62,,,,,,,,,,,,70,,,,73,5,73,92,,,,,,,,,90,,,,,95,85,,,,,,,,,,,70,,86,,,,,3,28,,,,,43,,,90,,,,74,,,,87,,,,,,,,,76,,,,,71,,,,89,21,,,,88,,,,,,,,,,,,,,,,,,,,,
405,,,77,6,,,,,,,,,,,89,,,,,,97,,,,,,,,,,,,,76,,,,,,,,,,,89,,,,,86,,,,,83,,,,,,,82,71,,,,,,,,,,,99,,,,,,,,,,,,,92,,,,77,,,,,,,97,95,,,,,,,75,,,,,,,31,,,72,54,74,,,,,,,,,,88,,,,84,,85,,,,,,,97,,,,,,68,,,,79,,,,,,,,,,,,,,,,94,13,,,,85,,90,,,,,,,,,,,,,,,91,,90,,,,89,,,,,,70,91,,,91,,,86,,81,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,97,,,87,75,,,,90,50,,58,,,,81,,,49,,,,,15,,,,,93,,,85,,55,80,,,,,,,,,,,,,70,,,,,,,,,44,,,,93,,,,,,,93,,48,,,,,30,,97,,86,,,90,89,95,,,,52,,,,7,53,92,,73,,,92,,,,,,93,,,,,94,,76,,,,,,86,,96,81,,,94,,,,,,74,,,,,,89,,,62,,86,,73,,,,,,,,,,,,,,,41,,,,
406,,,86,,,,,,,,,,,,74,,,,,,81,,,,,,,,,86,,,,94,93,,,,81,,84,,,,82,,78,,72,99,32,,,,91,,,,,,,,,,,,,,96,,,,,85,,,,77,,,,,,,,,94,79,,,84,,,,,,,,,,,,,65,,,,,76,,,,,,,,,,30,,63,31,,,,,,,,,,82,,84,47,,,38,,,96,,,,,,,,,,,,51,,,,,,,,,,,,90,,79,,,,,,86,,,,,75,91,,80,83,,,,,,,90,,,91,,,,,,,,,,94,,,87,,31,,,,,,,,,,,,,,,,90,,70,,,46,55,,,,,,24,,,,60,,,,76,,,,81,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,6,,,,,,,,,83,84,,,,,68,,,88,,,,,,,,,,73,,,,2,,,,,,28,72,,,,,83,,,,,,,,,,32,,,43,75,81,,,,,,,7,,77,90,97,,97,,92,75,,90,,,72,,,,39,,75,,,,,,,,79,,,,79,,,6,,84,,73,,,85,,,,,,,,97,,,,,,86,,
407,,,,,,,,,,,87,,100,,,,,,,98,74,50,73,,,80,,26,,,,,,,96,,,,,,,,,,,,,,,,11,,,,,,,,,44,,84,,,,,,,,,,,,81,,,,71,,,97,,,,,,,,83,,90,,,95,,41,,,,,41,,93,,,,,,,,,,,,39,,,96,,,,38,57,,,,,,,,,91,13,75,,,,,,,98,,,,,,,36,64,,,,,,,,,,,,69,,,,93,,,,,,,,,,,,,82,,,72,83,,,,,,,91,,75,84,,,84,,,87,61,,,71,,,95,12,,,,95,,,,,,,,,,,98,,95,98,97,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,35,93,,,,,,,,,76,,,,36,,,,,,,,,,,,,70,98,,,4,,,,,,,,9,,,,98,,,,90,,77,72,95,,80,,,49,,27,99,13,79,,,,,,,,,,,,,,,,,93,,,,,79,,,,,,,79,,,,,97,,87,,,,3,,,,,85,,,,,,,16,,,,,76,,8,,,83,,,,,,,,,,,,,84,,,,,,78,,
408,,,,,,,,,,,82,91,,,,,,,,,98,,,87,93,,,78,,,,,,,82,,,,,,,,,,73,93,75,,,80,,,,,70,,95,,,,,94,,78,,,,,,,,,,83,,,,97,,,76,,,,,,84,,81,99,,,,,,,,83,,,,,92,,,,,,98,,,,,,,75,,89,14,,,,29,,,,,,,,,84,,70,,,,,,,89,,,96,,,,,,,,,,,89,,,,,9,,,,,86,,87,69,,,,,84,,,94,,74,,,,,,,,,,,81,,78,,,,76,,,97,,,,,,,74,,,76,,85,,,,,,75,,,,,,,82,76,90,,,,,,62,,,,,,,,,,,,77,,,,,,,9,,,58,,,,25,,,,,,,,,,94,,,,80,,,,,,,,,,,,,82,,,,,,95,,,,97,,,,74,89,,,,,,,,,,65,67,,,,70,,,76,,,77,86,,,,,,,,,43,,,,,,,,,,,,,,84,,,,95,,,74,97,82,,68,76,,,,50,,,,,,,,98,,81,26,,,73,,,,,77,,85,,,,,,,,,,48,71,,,,,,80,,
409,,,,,,,58,,,,,,,,91,55,,,,,,,,83,,,,,,,,,,,97,,,,,,69,,,,,,,,,93,,1,,,,,,,,,,89,98,,,,,,,85,15,,,,,,,,,,,,46,,,,76,,86,,,,,,,,,71,74,,,,,13,,75,97,,,,,,,,,71,,86,99,,,,,57,,,,,,,,94,,94,86,80,,,,,,,,93,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,86,,,,,,85,24,84,80,,52,43,,,31,91,,81,81,,,,,,,,,,70,,,,,,,,74,,,,,,,87,,78,,,,,90,97,,,,,,,,,,78,,,,,13,,,98,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,74,6,,90,,,,,,,81,,,,19,,,78,,,,,,,,,,,6,,98,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,74,,,,,,,,,,,,,97,,,,73,65,,,,,89,,,,,,88,,,,,,,84,,,,,28,,,,,,76,,,,,,,,
