user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
200,,,,,,,71,,,,,,,,,52,84,,,99,,,,,,,,,,,,,,,,,,,,22,,,99,,,,,,,,,,,,,,,,,,,,,,86,,,,,,20,,79,79,,,,,,41,,,,,71,83,96,,,90,,,66,,,,,,,,67,,,,,,,78,,,,,68,71,,,,74,,96,,,79,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,93,,80,,,,,,,66,,,,65,,,,,,87,,,93,,,,,,,,,,,,,,,,83,,,,,74,,,,9,,37,,,,90,,,,85,,,,,,,,,,,,,,,,,,88,,,72,,,,,,,,,76,,,,,,,75,,,86,,,,98,,89,,93,8,,90,,,,,,41,,,,,,,,,,,,96,,,,76,,,,,,,84,,,,,,76,,,,69,,,,71,,,,,,,,95,,72,,,,,,,94,,,,,,,82,,,,,,,,,55,,,,97,37,88,,,,,,,,,,90,,,,,,89,,,,,,72,,,,,,96,,,,,,,,,,19,,,,,80,70,,,,,
201,,,,,,92,,,,,,,,,,,,65,,,,,,,,,,23,24,,,72,,,,,91,,,,,77,,11,,,,,,,,51,,,,,,,,,95,,18,93,72,,52,,13,,,84,,,,,,,,8,,83,,,74,94,,,,94,,,,,,78,,,74,56,17,,,,96,95,80,,,,,,,,,,,,,,,,,,,,,,97,,,94,,,82,,89,,,12,,61,,,,71,,,,17,,,95,73,,,,,92,,70,,,,,,15,,,,,84,93,58,,,25,,,,,,97,,,,,81,88,,,,,,,,,,,,16,,,,,,96,99,59,,,,,,,,73,79,,92,,,,,13,,97,85,,,,,,,,,76,,80,,,,,,,,74,,,,,88,,,,,86,71,11,,,,,85,,73,,,,,,,,,,16,,64,79,,,56,,,,,,,,,,,89,,,,,,,,,85,,94,,,,,98,91,26,,80,,,,76,82,,,75,,,,,,,,,77,,,,96,,,,,,,,,,,,,,,,,,,,75,,,79,,32,,79,,,,,91,,,,,,79,,99,,48,,,,97,,,,,,,,93,,,,,,77,73,,77,,14,
202,7,,,,,,,,16,,,40,,,,,82,,,,,,67,,,,,,,,,86,,83,,,,,26,,,75,,95,,,70,,45,,,,,,,,,88,,11,72,,,82,,,,,,78,,,,,,,,,83,,62,,,,,74,7,,,,,,,,,83,,86,73,,,82,,,,,,,,51,,,,,,,74,,,,,,8,,,,,,,98,71,79,,,,,,55,,,94,,,79,,,,,54,,,,95,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,90,,,,,71,,,,,,,90,,,,90,,,,,,,,,,,,76,,,,,86,85,,,,,,,63,,,,71,,,,,,,,87,,,,,,,,,,,,,,76,,,,,83,,40,,,88,78,,55,86,,,,,74,,,,,,,,71,,96,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,85,,,,,,,73,,,,93,97,82,,,,,,,,,,,,,,,,,70,,,36,,,,,,,95,,,88,,,,,13,,,,,,,,98,85,,,,30,,,8,71,,,,90,,,73,,,,,
203,,,,,54,79,,37,,,,,,87,,,,,,,,,65,,46,,,,,,,,,,,,,,,,,92,,24,,,,2,,,,,,,,,,76,,,84,,,99,,,,,,,,,,,,,,,,,,88,,,,76,,77,,97,,,,,,,,,99,,,87,,,90,97,,,,18,,89,,,,,,,,,,,,,54,,,,,,,,,,92,64,,,,,,,27,71,,77,,,,,,,97,,94,,,,,,,,,,8,,,,,,,99,,,,,,,,,,,84,,,,,,,,,,,,93,46,,,89,,,73,,73,,,,50,,,,63,,71,,82,74,93,,,,,,,,,,72,,,,,,,,92,95,,80,86,,,70,,,99,,,,98,,,,,71,,,96,,86,,,,87,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,82,,,,,,,,,,,15,78,,73,77,,,,,,,,91,,79,,,,81,,,,,,,,,91,,,84,,,,,90,,,,,83,,,,,72,,,,,,50,97,,77,,,,,,,,,,,,,,19,,71,,90,,,,76,,,,,,,76,,83,74,,91,,76,
204,,,,,,90,,,,,,,,,,,,,13,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,75,,,,,,,,,,,,37,,,,,,,,,,74,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,83,,,,,,,,,,74,,,,69,,,,,,,,18,,,,,,80,,77,,93,85,,,,,,70,,14,,,,,,74,,,,,,,,,,,,,,,,,,80,,,,10,,,,,38,,,,,,,,,,,,,,,84,,,,1,,,99,,,,,71,,,94,92,,,,,,,,,,91,56,,83,87,,,,,89,,,,,86,,,,,,,,,77,,74,,,,,,63,71,,,,,,,,,71,,,,,75,,73,,,,87,,,78,,,,,,,,,,76,,,,,,,,,,,28,,,97,,71,,,,,,,,,90,,,,,,92,,76,88,,,,73,,,70,94,85,93,,10,,,21,,89,,,,,,77,,63,93,,,,,,,,,,74,,76,,,94,,,,,,,,,73,,,85,,57,,,,,78,,,,,,,97,,,,36,,13,,77,,,,,,,91,,,,,
205,,,,,,,,98,,,,,,,,,86,,,,,,,,,,,,,,77,,,,,,,,,,,,87,,89,,87,,,,,,,,,,95,71,,,,,,,74,,,,,93,,90,78,,,,,17,72,,,78,81,,98,96,,,,,,,,,,92,,,74,,,84,,,85,63,94,,,,,33,,,,,,,,47,,75,,,,,,,,90,,,61,82,,,,,84,,,7,,,,88,,,,,,,,,,,,,,95,,,74,,,,,,,,,,,,,,,,,,,,89,,,,,85,,,,,,,,,,28,,,,,,98,,,,,,,,42,,,,71,72,,,,,,,,,,,,83,,,,,,,85,72,,,70,,,,,,,,,51,,,,,,,,50,,,,,,,83,,,,,,,,,,,,,57,,82,70,,,,,,,,,,,96,,,,,,,73,,,,,,,,,,,,85,,,,,,,,,,98,,96,73,,,,,,,98,,,,80,,93,,,,,,,,,1,,,,98,,85,,,,,,,,,,,,93,,,82,,64,,,,29,,,,,,,,85,,,,,,,,,,,,,,,,,90,,,
206,,,,23,,,,,,,,,,,,,,,69,,,,,,,,,,,7,,,,,,,,,,,,70,,,,,70,,,,,,,,,,,79,,,92,,,,,,98,,,,,,84,,,38,,,82,,2,,72,,76,80,,,,,,,,,,,,,79,,,,,1,,,,,,,,,,85,,,,,,,,,,,,,59,13,93,,,93,,,,,,,,,79,,,76,,,,,,,,,85,,,,,,,,,,73,,,31,,,,,,,,92,,,,,,,,,87,,35,,,,,,,,,,,,,,89,,,10,,,,,96,,,,,,,,,,,,53,,,37,,,100,,,,,,,,,,,96,90,,,,,50,,,,,,,,,,88,,,,97,,,,76,,,,,,97,,,,,,,,,,,,47,71,,,,,,,,,,,,,,91,,,,54,74,,,,,49,72,,,,35,54,71,,80,,62,,,84,96,,80,,82,96,,,,,,94,91,75,,,98,,89,,,,,,,,,,,,,74,,85,,,92,,,,,,,91,,96,,,,99,,,,,,96,,,,,,97,,,,,,,40,,,,,,,,,96,,75,,,
207,,,,,,,,,,,,,,,,,77,,36,,,,,,,5,,,,,,,20,,,,88,38,45,,,98,,,,,94,,,34,,,,,,,,86,,,70,,,,,,,,,80,,,,,,,,,,,,75,92,,,91,,,,,,24,,,,81,,,98,,,,,,96,,,,,,,,,,,,,94,,,94,72,1,,,,,,78,,,84,,69,,,,,,,,,,95,,93,,,,,,,73,,,,,5,,,,,70,,,,28,,,,,70,,,,,,,,,,,96,,,,,89,,,79,,,,91,,,,,,,,,,,,98,,,,,,,,,,78,90,,,,,,,,,,72,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,93,,82,,,,85,,97,,,,,,,,,70,75,,,98,,,,,,,,90,,,,96,,,,11,,,,,,,,99,71,,,,63,30,,57,,,,,,,,,,,,88,,,,,,81,84,,,,91,,76,,,83,,,,,,,,,,75,,,,95,98,,,,,60,,,,80,,,,,,,,,,79,,,,,,,,89,,,,,,38,,,,,,,,80,,75,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,79,,,65,,,,,65,11,71,,,,,,,,72,,,,,,,,92,98,,,,,,,,,,23,,94,,,,72,80,,,,,77,,,70,84,,99,,,99,,,,,,,,,,,13,,,,,,,,,,,,,,,85,,,,97,,,,,,92,,,,55,90,,,,,,18,,,,30,66,,,,,,71,77,,,,,,,,92,,,,,,33,,,,,,,,,,,76,,,,,,94,,,,,,,98,,88,,,,,,,,,,,,,80,79,,,,,,,,,,,12,,,,,,,84,81,,83,82,,,,,,,,,,85,,,,,,,,96,,,,82,,84,,,,,,,,,,,,,,,76,,,,,,60,,,,,,,,71,,,,51,,,,,,,,,,,,,,,93,70,,,,76,,,81,97,,,,,,,,,,85,8,,99,,,,,83,,,,,,,46,,,,,,,,,,,,,,,93,84,72,,,77,,,,,,,91,,58,,,,73,82,,,,,,,,,,,,,,,,,88,86,,
209,9,,,,45,94,,,,,78,,,,,,86,,89,,,85,,,,,,,,,,71,,,,,70,,,,,96,,,,,98,,,,,32,,,,,,,,,93,,,95,78,,,,,,,,,,,,,,94,,,96,83,,,85,,,,91,,,,,,,,,,,,,,,85,32,,,86,,,,,,,,,,,,,83,,,,,,,,,,90,,,,,90,55,,,,,,,,,,,,,,,,,,,,,,,,,71,74,,,,,,,,96,,,,,,,,,,,92,,,,,75,87,,,,,,,,,,70,,,,,,,,74,,,,,,,,78,,,73,,,,71,,1,,,,,,,,,,,,98,,,,,,,85,5,,76,,,71,71,,,,,73,,58,90,,98,,71,,75,,,,,,,58,,,,,,,,79,,63,,,,,,,,,,75,,,,,,,72,,48,,,,,,,,,,81,,74,,78,37,,96,90,,,,99,97,,,,,,89,84,74,,,,,98,,,91,,,5,,8,,,,,77,,81,,84,,,,60,74,,,78,,,,,,,,,,,,,,,,,,92,,,,,,,,,79,,,,,,79,90,,83,,54,
